Beneficiários por Município
Excl. Odontológico por Município e Faixa etária
Sexo: Feminino
UF: Paraná
Período:Dez/2017
"Município";"Até 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Inconsistente";"Total"
"411470 Maria Helena";0;0;0;1;2;0;0;2;3;0;1;1;0;0;1;0;0;0;0;11
"411480 Marialva";2;27;39;45;40;68;121;127;93;61;41;32;21;15;6;1;2;0;0;741
"411490 Marilândia do Sul";0;4;8;3;5;3;4;2;6;7;3;2;1;0;0;0;0;0;0;48
"411500 Marilena";0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;1;0;0;0;6
"411510 Mariluz";0;1;2;4;3;3;1;3;4;2;3;0;0;0;1;1;0;0;0;28
"411520 Maringá";47;498;1021;945;1028;1863;2781;2858;2492;1863;1506;1191;785;464;249;104;37;35;0;19767
"411530 Mariópolis";0;0;1;0;2;6;5;6;7;5;6;5;2;1;1;0;0;0;0;47
"411535 Maripá";0;1;2;0;4;4;2;7;4;3;2;1;2;0;0;0;0;0;0;32
"411540 Marmeleiro";0;4;3;5;2;5;12;16;11;5;6;5;1;0;1;0;0;0;0;76
"411550 Marumbi";0;1;2;0;2;4;8;5;3;3;2;1;0;0;0;0;1;0;0;32
"411560 Matelândia";0;3;2;3;6;6;15;9;12;8;10;7;0;2;0;1;0;0;0;84
"411570 Matinhos";4;27;48;42;36;61;80;88;79;55;57;37;42;29;18;5;2;3;0;713
"411573 Mato Rico";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
"411575 Mauá da Serra";0;5;4;4;2;2;11;10;7;3;1;2;2;1;0;0;0;0;0;54
"411580 Medianeira";1;17;34;33;28;37;92;90;70;60;33;20;18;17;4;2;0;0;0;556
"411585 Mercedes";0;0;3;0;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;8
"411590 Mirador";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;3
"411600 Miraselva";0;0;0;0;0;0;1;3;1;0;1;0;0;0;0;0;0;0;0;6
"411605 Missal";0;4;4;5;3;4;2;4;5;2;6;2;1;2;0;0;1;0;0;45
"411610 Moreira Sales";1;2;6;6;6;8;13;10;5;7;5;2;2;2;2;0;0;0;0;77
"411620 Morretes";2;18;30;29;28;45;50;57;55;41;22;12;11;19;6;1;1;5;0;432
"411630 Munhoz de Melo";0;0;3;2;1;1;2;4;3;0;2;1;0;0;0;0;0;0;0;19
"411640 Nossa Senhora das Graças";0;0;2;0;0;0;1;0;2;1;0;0;1;1;1;0;0;0;0;9
"411650 Nova Aliança do Ivaí";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"411660 Nova América da Colina";0;0;1;2;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;7
"411670 Nova Aurora";0;4;0;6;4;18;19;16;17;17;11;6;4;0;0;1;0;0;0;123
"411680 Nova Cantu";0;2;1;2;0;0;0;4;1;1;0;1;0;0;0;0;0;0;0;12
"411690 Nova Esperança";1;8;27;20;28;49;40;43;56;54;46;32;17;17;8;3;0;0;0;449
"411695 Nova Esperança do Sudoeste";0;2;0;1;1;4;7;6;5;4;1;0;0;0;0;0;0;0;0;31
"411700 Nova Fátima";0;1;0;1;2;2;1;2;1;1;1;0;3;0;0;0;0;0;0;15
"411705 Nova Laranjeiras";0;2;0;2;1;1;2;4;2;1;3;1;0;0;0;0;0;0;0;19
"411710 Nova Londrina";0;4;6;2;2;1;5;7;9;8;2;7;5;0;1;1;2;0;0;62
